time,price
1613599200,52410
1613602800,52113
1613606400,52151
1613610000,52310
1613613600,52136
1613617200,52354
1613620800,52014
1613624400,52162
1613628000,52204
1613631600,51936
1613635200,51903
1613638800,51666
1613642400,51752
1613646000,51633
1613649600,51334
1613653200,51444
1613656800,51800
1613660400,52234
1613664000,51540
1613667600,52040
1613671200,51804
1613674800,51826
1613678400,51728
1613682000,52113
1613685600,52015
1613689200,51839
1613692800,51579
1613696400,51497
1613700000,51320
1613703600,51197
1613707200,51207
1613710800,51113
1613714400,51473
1613718000,51676
1613721600,51688
1613725200,52194
1613728800,52678
1613732400,52665
1613736000,52687
1613739600,52544
1613743200,52794
1613746800,52920
1613750400,53915
1613754000,54355
1613757600,54793
1613761200,55370
1613764800,55031
1613768400,55342
1613772000,55618
1613775600,55449
1613779200,55937
1613782800,56232
1613786400,56205
1613790000,56186
1613793600,55717
1613797200,55845
1613800800,55697
1613804400,55970
1613808000,55234
1613811600,55243
1613815200,55224
1613818800,55913
1613822400,56357
1613826000,57261
1613829600,57300
1613833200,56362
1613836800,56200
1613840400,56778
1613844000,57089
1613847600,57146
1613851200,56983
1613854800,56775
1613858400,56523
1613862000,55476
1613865600,55898
1613869200,55853
1613872800,56362
1613876400,56341
1613880000,56535
1613883600,56690
1613887200,56570
1613890800,56516
1613894400,56109
1613898000,56522
1613901600,56803
1613905200,57582
1613908800,57316
1613912400,56925
1613916000,57194
1613919600,57429
1613923200,57369
1613926800,57744
1613930400,57534
1613934000,58215
1613937600,58097
1613941200,57725
1613944800,57351
1613948400,57385
1613952000,57483
1613955600,56275
1613959200,56898
1613962800,56896
1613966400,55879
1613970000,55808
1613973600,55890
1613977200,56034
1613980800,56463
1613984400,55462
1613988000,54693
1613991600,54855
1613995200,54514
1613998800,53768
1614002400,51994
1614006000,53650
1614009600,53241
1614013200,53213
1614016800,52067
1614020400,53217
1614024000,53604
1614027600,53822
1614031200,54922
1614034800,54092
1614038400,54079
1614042000,53455
1614045600,52522
1614049200,51171
1614052800,51848
1614056400,50699
1614060000,49900
1614063600,49501
1614067200,49617
1614070800,46493
1614074400,48072
1614078000,47497
1614081600,46358
1614085200,48699
1614088800,48758
1614092400,46901
1614096000,48626
1614099600,47337
1614103200,47131
1614106800,46812
1614110400,45456
1614114000,47800
1614117600,47967
1614121200,48575
1614124800,48907
1614128400,48475
1614132000,50228
1614135600,50203
1614139200,50917
1614142800,50661
1614146400,50218
1614150000,50075
1614153600,50099
1614157200,50637
1614160800,50890
1614164400,50091
1614168000,50371
1614171600,50759
1614175200,49482
1614178800,49418
1614182400,49838
1614186000,49341
1614189600,50088
1614193200,49597
1614196800,48967
1614200400,49125
1614204000,48725
1614207600,48846
1614211200,49724
1614214800,50536
1614218400,50500
1614222000,50650
1614225600,50229
1614229200,49608
1614232800,50428
1614236400,50492
1614240000,50438
